split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
test,SITE,26,4600,5038,0.56556633213292,0.812258558523324,0.8668491370565656,0.10722608791129093,4600,0.56556633213292,0.10722608791129093
test,SITE,27,6606,5365,4.193767126314646,6.9590618787419345,0.9100030700802668,0.07021040818675456,6287,4.3941043680757454,0.07196614776063082
test,SITE,28,3990,5002,0.2911740059243109,0.3923012382848648,0.8071803819513018,0.11659163198482123,3990,0.2911740059243109,0.11659163198482123
test,SITE,29,3960,5100,0.2618476676820505,0.35168254284635375,0.8341926037172607,0.10950770249148868,3960,0.2618476676820505,0.10950770249148868
test,SITE,3,5863,6035,0.8031216523721725,1.2417673351443406,0.9104245894039769,0.09333613958999327,5862,0.8032550605561131,0.09334409807318181
test,SITE,30,4101,4704,0.6082518077483848,0.8798085764122666,0.8779618785085418,0.10597235573088996,4101,0.6082518077483848,0.10597235573088996
test,SITE,31,4633,5005,1.0490947758793805,1.6022864841551794,0.891839705306445,0.0994072419655311,4632,1.0492886161763022,0.09941787629866677
test,SITE,32,4526,5112,0.5318100581483086,0.7627196125477193,0.8591993345500673,0.10507532399419676,4526,0.5318100581483086,0.10507532399419676
test,SITE,33,4674,4964,1.2357788407807684,1.886918726842558,0.887667487671983,0.10063173408519074,4672,1.2362083106314483,0.10065286933189828
test,SITE,34,5071,5776,0.35059185419250016,0.4837644120562036,0.8368295002153902,0.12220914220933822,5071,0.35059185419250016,0.12220914220933822
test,SITE,35,5088,5803,0.4590848651509615,0.658035652459009,0.8590833114463647,0.11094567336311675,5088,0.4590848651509615,0.11094567336311675
test,SITE,36,4617,5021,0.7487412919103776,1.0806231579276804,0.8651312985188901,0.10754768332373843,4616,0.7488765939682773,0.10755917830114531
test,SITE,37,4613,5025,0.7079333187622593,1.0338530223983708,0.8709950242775587,0.10386010181106986,4612,0.7080587194675171,0.1038711840899309
test,SITE,38,4672,4966,0.8204498878897053,1.1892803757324122,0.8721687345142268,0.10533791120150209,4671,0.820596877371466,0.10534904349414699
test,SITE,39,4056,4749,0.5074233278720337,0.7231209978598443,0.8594102408212647,0.11223583202856849,4056,0.5074233278720337,0.11223583202856849
test,SITE,4,2974,4108,0.2142022486573189,0.27759829444435485,0.7179197800355694,0.1465261100572265,2972,0.2143168635515955,0.14657398605255736
test,SITE,40,4658,4980,0.9601405271904414,1.5018320816491189,0.8942225643304581,0.0909528348435014,4657,0.9603077804732533,0.0909624572908386
test,SITE,41,5735,6163,0.896419411611848,1.6283909663371436,0.951147324730011,0.07465402711001232,5724,0.8979756746735297,0.07472537350780896
test,SITE,42,5760,6138,0.33705072100791666,0.534871130199163,0.9268582680683601,0.08655222787322073,5760,0.33705072100791666,0.08655222787322073
test,SITE,5,1911,5171,0.23975488654235969,0.6499570841666596,-0.6633151921340783,0.3423642254046602,1910,0.23981190788808293,0.3424502065985229
test,SITE,6,3041,3265,1.4847933114731402,2.4693375090369423,0.921544588298898,0.08624152828287275,3023,1.4924532755928406,0.08649572604092338
test,SITE,7,1226,10672,2.4013111595228485,3.8158534445700902,0.43734864997984857,0.23989572965281067,1226,2.4013111595228485,0.23989572965281067
test,SITE,8,2996,3310,1.5470208292491285,2.39935627695192,0.91973446890549,0.08930433365799528,2984,1.5525815756966537,0.08948257975108342
test,SITE,9,5106,6792,0.26815016378013473,0.567618004656646,0.09783904173764446,0.2969150167399751,5106,0.26815016378013473,0.2969150167399751
