split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
test,SITE,17,4585,5053,0.6153151151268147,0.9325769368280625,0.8904910600100338,0.09871841745785108,4585,0.6153151151268147,0.09871841745785108
test,SITE,18,4566,4710,2.232773743122751,3.5460460036708787,0.8864229730766046,0.10075336037067091,4564,2.233709635910081,0.10077541667230225
test,SITE,19,4645,4791,2.5804345310055146,4.114543919030289,0.8917888408132923,0.09769161860688444,4642,2.5819200993303286,0.09772290705258443
test,SITE,2,5972,5926,1.0400660986159365,1.6865515817633345,0.9238055307308671,0.0913501195268174,5962,1.041595754068356,0.09142599259005074
test,SITE,20,4664,4974,1.0627121243938982,1.650732504936501,0.8812303890354247,0.10501677963810742,4663,1.0629397574193022,0.10502803967336431
test,SITE,21,4559,5079,0.5723873263101982,0.8412476028675294,0.8686671347466722,0.10623882904807919,4559,0.5723873263101982,0.10623882904807919
test,SITE,22,4618,5020,0.9447625610620854,1.484901144798703,0.8803440364337238,0.099897429359035,4617,0.9449631325579423,0.09990824548840807
test,SITE,23,4223,4582,0.8575931035199211,1.2638451050318449,0.8768125166580032,0.10572912769516025,4222,0.8577840390898841,0.1057416274087505
test,SITE,24,4708,4930,0.8346767790659869,1.278767028686212,0.8824281096123363,0.07232573528719587,4707,0.8348497439271608,0.07233341568366304
test,SITE,25,4460,4976,4.783683276497195,7.986295216024255,0.8916322602741669,0.09964744193420817,4443,4.800044292752173,0.09983657818413814
test,SITE,26,4600,5038,0.5532432817376178,0.8010302357616051,0.8705049368049178,0.10574383929610463,4600,0.5532432817376178,0.10574383929610463
test,SITE,27,6606,5365,4.3317301396777905,7.044874704878714,0.9077698648376229,0.0710761791276808,6287,4.500516595646291,0.07279823333822603
test,SITE,28,3990,5002,0.27921231306883926,0.36125805948479867,0.8364890093244078,0.10736562267085585,3990,0.27921231306883926,0.10736562267085585
test,SITE,29,3960,5100,0.23527389722641068,0.32523743728165716,0.8581911489308285,0.10127316594299696,3960,0.23527389722641068,0.10127316594299696
test,SITE,3,5863,6035,0.7498018393515727,1.1774229785956007,0.9194670961570701,0.08849976350351538,5862,0.749903582461008,0.08850718368732041
test,SITE,30,4101,4704,0.5860468229704501,0.8629812617305509,0.8825854647958736,0.10394551691020221,4101,0.5860468229704501,0.10394551691020221
test,SITE,31,4633,5005,1.0228129608595626,1.5971924201361747,0.8925263485846074,0.09909120181944443,4632,1.0230323495230733,0.09910189743256675
test,SITE,32,4526,5112,0.528928567285407,0.7462191064153054,0.8652255374186667,0.10280214785002997,4526,0.528928567285407,0.10280214785002997
test,SITE,33,4674,4964,1.1923782935650573,1.8648739061754191,0.8902769106308398,0.09945605624609093,4672,1.1928574800083083,0.09947727749891722
test,SITE,34,5071,5776,0.3465522111837409,0.4656941965955974,0.8487917585810049,0.11764422284788251,5071,0.3465522111837409,0.11764422284788251
test,SITE,35,5088,5803,0.4671586425799244,0.6531085793488276,0.861185651940349,0.11011496237978986,5088,0.4671586425799244,0.11011496237978986
test,SITE,36,4617,5021,0.7175398339743941,1.0660769782956443,0.8687377738490847,0.10609999278595975,4616,0.7176881241426517,0.10611147376457085
test,SITE,37,4613,5025,0.6764765252473683,1.0054250031898526,0.8779920246596494,0.10100424425170969,4612,0.6766134711937188,0.10101517199678418
test,SITE,38,4672,4966,0.7645596204044884,1.1673395948442873,0.876841889847831,0.10339455446574364,4671,0.764718157146146,0.10340561689302856
test,SITE,39,4056,4749,0.5106959262425612,0.7200721411831648,0.8605932638708883,0.11176261804798192,4056,0.5106959262425612,0.11176261804798192
test,SITE,4,2974,4108,0.2007912938516254,0.2550027732455085,0.7619715581209847,0.13459940196051584,2972,0.20084811652813753,0.13462636081627627
test,SITE,40,4658,4980,0.9732509786451052,1.5336214623650593,0.8896971751119829,0.09287803961796541,4657,0.9734556642703956,0.0928880092564494
test,SITE,41,5735,6163,0.9908036135962036,1.692940264995066,0.9471975284185387,0.07761330727771076,5724,0.9923885531312181,0.0776865867172611
test,SITE,42,5760,6138,0.4214888359523482,0.5925208795675652,0.9102417776631764,0.09588104366163326,5760,0.4214888359523482,0.09588104366163326
test,SITE,5,1911,5171,0.18579533161261144,0.24003919608507404,0.7731339455455023,0.12644039958390732,1910,0.18581492214302742,0.12646085032840548
test,SITE,6,3041,3265,1.4700305851538376,2.46119648309993,0.9220610464006879,0.08595720322968378,3023,1.4777533876316222,0.08621092682547771
test,SITE,7,1226,10672,1.125831424898269,1.7949951930489403,0.8754962099197554,0.11284806605256764,1226,1.125831424898269,0.11284806605256764
test,SITE,8,2996,3310,1.4524767097229951,2.343926470663876,0.9234002115957407,0.08724122949839376,2984,1.457582634112151,0.08741506425376692
test,SITE,9,5106,6792,0.22605789627601156,0.28390428290813247,0.7743082979235444,0.14850734864058684,5106,0.22605789627601156,0.14850734864058684
