model,method,level,scope,label,n,n_missing,coverage,mae,mean_width,median_width,p90_width
persistence,mondrian,0.9,SITE,site_32,4355,5283,1.0,1.027978795924225,16.404161882893227,16.5,16.5
persistence,mondrian,0.9,SITE,site_33,4532,5106,0.9035745807590467,2.786397423874669,16.40790489849956,16.5,16.5
persistence,mondrian,0.9,SITE,site_34,4886,5961,1.0,0.7207335051678264,16.405763917314776,16.5,16.5
persistence,mondrian,0.9,SITE,site_35,4856,6035,1.0,0.9930546617586491,16.398360275947283,16.5,16.5
persistence,mondrian,0.9,SITE,site_36,4485,5153,0.9984392419175028,1.695558110367893,16.412848383500556,16.5,16.5
persistence,mondrian,0.9,SITE,site_37,4472,5166,0.9979874776386404,1.548145055344365,16.41037287567084,16.5,16.5
persistence,mondrian,0.9,SITE,site_38,4554,5084,0.9938515590689504,1.8773262516469038,16.411986714975846,16.5,16.5
persistence,mondrian,0.9,SITE,site_39,3911,4894,1.0,1.1549835400153414,16.400904500127844,16.5,16.5
persistence,mondrian,0.9,SITE,site_4,2801,4281,1.0,0.28643787932881115,16.334434130667617,16.5,16.5
persistence,mondrian,0.9,SITE,site_40,4535,5103,0.9461962513781698,2.3442151323042997,16.41527012127894,16.5,16.5
persistence,mondrian,0.9,SITE,site_41,5462,6436,0.9404979860856829,2.121098041010619,16.366337879897472,16.5,16.5
persistence,mondrian,0.9,SITE,site_42,5597,6301,1.0,0.8141331293550116,16.404714579238878,16.5,16.5
persistence,mondrian,0.9,SITE,site_5,1785,5297,1.0,0.2943452380952381,16.34597338935574,16.5,16.5
persistence,mondrian,0.9,SITE,site_6,3024,3282,0.8406084656084656,3.7654544890873014,16.347924933862434,16.5,16.5
persistence,mondrian,0.9,SITE,site_7,492,11406,0.959349593495935,1.8422256097560976,15.685340447154472,16.5,16.5
persistence,mondrian,0.9,SITE,site_8,2961,3345,0.8321513002364066,3.7297260216143195,16.36750675447484,16.5,16.5
persistence,mondrian,0.9,SITE,site_9,4709,7189,1.0,0.28077468013378637,16.372677320025485,16.5,16.5
