model,protocol,split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
gru,seen,val,SITE,2,5756,6142,1.1890847743427364,1.9174419373515255,0.8920485643177022,0.01934488651347832,5753,1.1896873592978123,0.019349927935326403
gru,seen,val,SITE,20,4744,4894,1.1255344603757231,1.729154502006352,0.8773568920950091,0.01744527276366259,4743,1.1257483030757949,0.017447104105824424
gru,seen,val,SITE,21,4791,4847,0.6258276763924774,0.9703328240482766,0.8419340867075508,0.009789594144083615,4791,0.6258276763924774,0.009789594144083615
gru,seen,val,SITE,22,4889,4749,1.047781638071127,1.6205154195261287,0.8751888807080036,0.016349223553217558,4889,1.047781638071127,0.016349223553217558
gru,seen,val,SITE,23,4509,4296,0.9107189267298735,1.366457871173661,0.8693113096387007,0.013786061485551778,4508,0.9108437425601557,0.013787491276916298
gru,seen,val,SITE,24,4910,4728,1.2397186625513672,1.9110634093628271,0.8770299705561375,0.019280534160658266,4908,1.240154961453479,0.0192844309119654
gru,seen,val,SITE,25,5007,4429,5.318471293737961,8.472686345451455,0.8837249955733278,0.08548011422105833,4988,5.337027575076822,0.08564217678544435
gru,seen,val,SITE,27,6286,5684,6.032983855915949,9.638776490922437,0.8800319336363422,0.09724468507412924,6149,6.159046010401873,0.09831983314960586
gru,seen,val,SITE,3,5600,6298,0.910224162042141,1.4098958587520594,0.8846527341274852,0.01422430314685531,5599,0.9103702677426796,0.014225567914843478
gru,seen,val,SITE,30,4430,4375,0.6597124389816353,0.9976114827443973,0.851953945899724,0.010064805897011714,4430,0.6597124389816353,0.010064805897011714
gru,seen,val,SITE,31,4933,4705,1.1012196524399858,1.69575619590932,0.8836191521997045,0.017108320479161134,4933,1.1012196524399858,0.017108320479161134
gru,seen,val,SITE,34,5313,5535,0.36089462671220673,0.5776652646372341,0.7817623291887285,0.005828009062230613,5313,0.36089462671220673,0.005828009062230613
gru,seen,val,SITE,37,4904,4734,0.7483682446728718,1.1175938326761206,0.8609690188030481,0.011275296237207143,4904,0.7483682446728718,0.011275296237207143
gru,seen,val,SITE,38,5092,4546,0.8525890073529024,1.2519710445031025,0.8741847538721934,0.01263101494876364,5092,0.8525890073529024,0.01263101494876364
gru,seen,val,SITE,39,4405,4400,0.5295396957440761,0.75651391960022,0.8588541721444303,0.007632395868396997,4405,0.5295396957440761,0.007632395868396997
